IATA code – MAWB	IATA code	IATA airlines
IATA – 001	IATA – AA	American Airlines
IATA – 002	IATA – 2G	CargoItalia (alternate)
IATA – 005	IATA – CO	Continental Airlines
IATA – 006	IATA – DL	Delta Air Lines
IATA – 012	IATA – NW	Northwest Airlines (alternate site)
IATA – 014	IATA – AC	Air Canada
IATA – 016	IATA – UA	United Airlines Cargo
IATA – 018	IATA – CP	Canadian Airlines Int´l
IATA – 020	IATA – LH	Lufthansa Cargo AG
IATA – 023	IATA – FX	Fedex
IATA – 027	IATA – AS	Alaska Airlines
IATA – 037	IATA – US	USAirways
IATA – 042	IATA – RG	VARIG Brazilian Airlines
IATA – 043	IATA – KA	Dragonair
IATA – 045	IATA – LA	LAN Chile
IATA – 047	IATA – TP	TAP Air Portugal
IATA – 048	IATA – CY	Cyprus Airways
IATA – 050	IATA – OA	Olympic Airways
IATA – 053	IATA – EI	Aer Lingus Cargo
IATA – 055	IATA – AZ	Alitalia
IATA – 057	IATA – AF	Air France
IATA – 058	IATA – IC	Indian Airlines
IATA – 061	IATA – HM	Air Seychelles
IATA – 064	IATA – OK	Czech Airlines
IATA – 065	IATA – SV	Saudi Arabian Airlines
IATA – 070	IATA – RB	Syrian Arab Airlines
IATA – 071	IATA – ET	Ethiopian Airlines
IATA – 072	IATA – GF	Gulf Air
IATA – 074	IATA – KL	KLM Cargo
IATA – 075	IATA – IB	Iberia
IATA – 076	IATA – ME	Middle East Airlines
IATA – 077	IATA – MS	Egyptair
IATA – 079	IATA – PR	Philippine Airlines
IATA – 057	IATA – AF	Air France
IATA – 080	IATA – LO	LOT Polish Airlines
IATA – 081	IATA – QF	Qantas Airways
IATA – 082	IATA – SN	Brussels Airlines
IATA – 083	IATA – SA	South African Airways
IATA – 086	IATA – NZ	Air New Zealand
IATA – 090	IATA – IT	Kingfisher Airlines
IATA – 093	IATA – KD	KD Avia
IATA – 096	IATA – IR	Iran Air
IATA – 098	IATA – AI	Air India
IATA – 105	IATA – AY	Finnair
IATA – 106	IATA – BW	Caribbean Airlines
IATA – 108	IATA – FI	Icelandair
IATA – 112	IATA – CK	China Cargo Airlines
IATA – 114	IATA – LY	EL AL
IATA – 115	IATA – JU	JAT Airways
IATA – 117	IATA – SK	SAS-Scandinavian Airlines System
IATA – 118	IATA – DT	TAAG Angola Airlines
IATA – 119	IATA – LM	Air ALM
IATA – 124	IATA – AH	Air Algerie
IATA – 125	IATA – BA	British Airways
IATA – 126	IATA – GA	Garuda Indonesia
IATA – 129	IATA – MP	Martinair Cargo
IATA – 131	IATA – JL	Japan Airlines
IATA – 133	IATA – LR	LACSA Airlines of Costa Rica
IATA – 139	IATA – AM	Aeromexico Cargo
IATA – 140	IATA – LI	LIAT Airlines
IATA – 147	IATA – AT	Royal Air Maroc
IATA – 148	IATA – LN	Libyan Airlines
IATA – 157	IATA – QR	Qatar Airways
IATA – 160	IATA – CX	Cathay Pacific Airways
IATA – 163	IATA – 3V	TNT Airways
IATA – 165	IATA – JP	Adria Airways
IATA – 172	IATA – CV	Cargolux Airlines
IATA – 176	IATA – EK	Emirates
IATA – 180	IATA – KE	Korean Air
IATA – 182	IATA – MA	Malev Hungarian Airlines
IATA – 183	IATA – RG	VARIG Brazilian Airlines
